rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0375.jpg,150.0,0.6799,0.6798,1.0,0.2,9,8,False,True
2,frame_0074.jpg,29.6,0.6676,0.5601,0.625,1.0,8,5,False,True
3,frame_0004.jpg,1.6,0.6524,0.4548,0.75,1.0,7,6,False,True
4,frame_0284.jpg,113.6,0.6273,0.7307,0.5,0.56,5,4,False,True
5,frame_0073.jpg,29.2,0.6062,0.4375,0.625,1.0,8,5,False,False
6,frame_0072.jpg,28.8,0.5936,0.4872,0.5,1.0,7,4,False,False
7,frame_0070.jpg,28.0,0.5833,0.4666,0.5,1.0,6,4,False,False
8,frame_0288.jpg,115.2,0.5813,0.6496,0.375,0.72,8,3,False,False
9,frame_0287.jpg,114.8,0.5739,0.6508,0.375,0.68,8,3,False,False
10,frame_0376.jpg,150.4,0.573,0.632,0.75,0.16,8,6,False,False
11,frame_0000.jpg,0.0,0.5717,0.4434,0.5,1.0,8,4,False,False
12,frame_0126.jpg,50.4,0.5523,0.5006,0.5,0.76,8,4,False,True
13,frame_0387.jpg,154.8,0.5498,0.4946,0.875,0.2,9,7,False,True
14,frame_0001.jpg,0.4,0.5447,0.4644,0.375,1.0,8,3,False,False
15,frame_0124.jpg,49.6,0.5405,0.5091,0.5,0.68,8,4,False,False
16,frame_0377.jpg,150.8,0.5293,0.5607,0.75,0.12,10,6,False,False
17,frame_0280.jpg,112.0,0.5267,0.5184,0.625,0.4,6,5,False,False
18,frame_0033.jpg,13.2,0.5221,0.4192,0.375,1.0,7,3,False,True
19,frame_0225.jpg,90.0,0.5212,0.5603,0.75,0.08,6,6,False,True
20,frame_0176.jpg,70.4,0.5199,0.5687,0.625,0.24,9,5,False,True
21,frame_0031.jpg,12.4,0.5176,0.4102,0.375,1.0,8,3,False,False
22,frame_0106.jpg,42.4,0.5141,0.6373,0.625,0.04,8,5,False,True
23,frame_0075.jpg,30.0,0.5124,0.3407,0.5,0.96,6,4,False,False
24,frame_0069.jpg,27.6,0.5109,0.3967,0.375,1.0,6,3,False,True
25,frame_0129.jpg,51.6,0.5101,0.4433,0.375,0.88,6,3,False,False
26,frame_0298.jpg,119.2,0.5079,0.4168,0.625,0.56,7,5,False,True
27,frame_0077.jpg,30.8,0.5009,0.4247,0.375,0.88,9,3,False,False
28,frame_0079.jpg,31.6,0.5,0.4551,0.375,0.8,6,3,False,False
29,frame_0173.jpg,69.2,0.4989,0.5539,0.5,0.36,6,4,False,False
30,frame_0286.jpg,114.4,0.4978,0.4396,0.5,0.64,5,4,False,False
31,frame_0123.jpg,49.2,0.4934,0.4308,0.5,0.64,5,4,False,False
32,frame_0130.jpg,52.0,0.4873,0.3816,0.375,0.92,4,3,False,False
33,frame_0125.jpg,50.0,0.4861,0.4593,0.375,0.72,7,3,False,False
34,frame_0275.jpg,110.0,0.4855,0.516,0.625,0.2,7,5,False,False
35,frame_0076.jpg,30.4,0.4839,0.3747,0.375,0.92,6,3,False,False
36,frame_0128.jpg,51.2,0.4812,0.4014,0.375,0.84,8,3,False,False
37,frame_0132.jpg,52.8,0.4812,0.4123,0.25,1.0,4,2,False,False
38,frame_0016.jpg,6.4,0.4804,0.3358,0.375,1.0,6,3,False,False
39,frame_0388.jpg,155.2,0.4775,0.516,0.625,0.16,8,5,False,False
40,frame_0008.jpg,3.2,0.4771,0.4042,0.25,1.0,4,2,False,False
41,frame_0397.jpg,158.8,0.4712,0.4873,0.625,0.2,7,5,False,False
42,frame_0007.jpg,2.8,0.4673,0.3846,0.25,1.0,5,2,False,False
43,frame_0127.jpg,50.8,0.4668,0.3886,0.375,0.8,8,3,False,False
44,frame_0170.jpg,68.0,0.4592,0.4264,0.5,0.48,7,4,False,False
45,frame_0315.jpg,126.0,0.4587,0.6443,0.375,0.12,7,3,False,False
46,frame_0071.jpg,28.4,0.4559,0.3617,0.25,1.0,6,2,False,False
47,frame_0279.jpg,111.6,0.4551,0.4662,0.5,0.36,6,4,False,False
48,frame_0278.jpg,111.2,0.4519,0.4757,0.5,0.32,8,4,False,False
49,frame_0289.jpg,115.6,0.4513,0.3735,0.375,0.76,6,3,False,False
50,frame_0029.jpg,11.6,0.4501,0.3502,0.25,1.0,7,2,False,False
51,frame_0295.jpg,118.0,0.4476,0.3982,0.375,0.68,6,3,False,False
52,frame_0067.jpg,26.8,0.4464,0.3428,0.25,1.0,8,2,False,False
53,frame_0011.jpg,4.4,0.4451,0.3401,0.25,1.0,3,2,False,False
54,frame_0277.jpg,110.8,0.4444,0.4769,0.5,0.28,7,4,False,False
55,frame_0283.jpg,113.2,0.4415,0.3751,0.5,0.52,7,4,False,False
56,frame_0131.jpg,52.4,0.4384,0.3428,0.25,0.96,4,2,False,False
57,frame_0203.jpg,81.2,0.4363,0.3916,0.375,0.64,4,3,False,False
58,frame_0330.jpg,132.0,0.4309,0.4707,0.625,0.04,8,5,False,False
59,frame_0003.jpg,1.2,0.4304,0.3109,0.25,1.0,7,2,False,False
60,frame_0078.jpg,31.2,0.43,0.3739,0.25,0.84,6,2,False,False
61,frame_0276.jpg,110.4,0.4293,0.4627,0.5,0.24,10,4,False,False
62,frame_0207.jpg,82.8,0.4281,0.3112,0.375,0.8,4,3,False,False
63,frame_0121.jpg,48.4,0.4277,0.4065,0.375,0.56,5,3,False,False
64,frame_0068.jpg,27.2,0.4243,0.2986,0.25,1.0,7,2,False,False
65,frame_0320.jpg,128.0,0.4239,0.5269,0.375,0.24,7,3,False,False
66,frame_0133.jpg,53.2,0.4236,0.2972,0.25,1.0,7,2,False,False
67,frame_0202.jpg,80.8,0.4235,0.3821,0.375,0.6,6,3,False,False
68,frame_0006.jpg,2.4,0.4232,0.2963,0.25,1.0,4,2,False,False
69,frame_0215.jpg,86.0,0.4214,0.3509,0.5,0.48,5,4,False,False
